id,name,code,item_type,weight_in_grams,weight_in_kg,bulk_item_id,child_unit,child_item_id,uom_for_repack_item,category_id,brand_id,print_name_in_english,print_name_in_language_1,print_name_in_language_2,print_name_in_language_3,hsn,supplier_id,mrp,default_selling_price,uom_id,rate,amount,applicable_date,is_minimum_sales_qty_applicable,minimum_sales_price,minimum_sales_qty,uom_for_minimum_sales_item,is_expiry_date,is_machine_weight_applicable,expiry_date,remark,active_status,created_by,updated_by
1,Test Item,testcode123,Direct,5000,5,0,NULL,NULL,NULL,16,0,Test Item,NULL,NULL,NULL,hsn456,2,200,200,1,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
2,test,1252,Direct,1000,1,0,NULL,NULL,NULL,16,0,test,NULL,NULL,NULL,552,NULL,233,233,1,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
3,test new item,5896,Direct,2000,2,0,NULL,NULL,NULL,16,0,test new item,NULL,NULL,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
4,for test,1234,Direct,0,0,0,NULL,NULL,NULL,16,0,for test,NULL,NULL,NULL,133,NULL,100,100,1,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
22,pencil,P123,Direct,10,0.01,0,NULL,NULL,NULL,17,0,pencil,NULL,NULL,NULL,1252,NULL,2,2,1,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
23,Pencil Box,PB523,Parent,100,0.1,0,10,22,NULL,17,0,Pencil Box,NULL,NULL,NULL,6355,NULL,20,20,2,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
25,Eraser,121,Direct,0,0,0,NULL,NULL,NULL,16,0,Eraser,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
26,Eraser Box,122,Parent,2,0,0,10,25,NULL,16,0,Eraser Box,NULL,NULL,NULL,152,NULL,10,10,2,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
27,Forchecking,Forchecking222,Direct,100,0.1,0,NULL,NULL,NULL,16,0,Forchecking,NULL,NULL,NULL,25288,NULL,100,100,1,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
28,Just Test,12555885,Direct,1000,1,0,NULL,NULL,NULL,18,0,Just Test,NULL,NULL,NULL,88655,NULL,20,20,2,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
29,Aasasd,sdasds,Direct,1000,1,0,NULL,NULL,NULL,16,0,Aasasd,NULL,NULL,NULL,1222,NULL,100,100,1,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
30,Boost,boost123,Direct,100,0.1,0,NULL,NULL,NULL,17,0,Boost new name,NULL,NULL,NULL,145223,NULL,20,20,1,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
31,Belt,belt45,Direct,50,0.05,0,NULL,NULL,NULL,17,0,Belt,NULL,NULL,NULL,777,NULL,50,50,1,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,0,0
