id,name,code,item_type,weight_in_grams,weight_in_kg,bulk_item_id,child_unit,child_item_id,uom_for_repack_item,category_id,brand_id,print_name_in_english,print_name_in_language_1,print_name_in_language_2,print_name_in_language_3,hsn,supplier_id,mrp,default_selling_price,uom_id,applicable_date,is_minimum_sales_qty_applicable,minimum_sales_price,minimum_sales_qty,uom_for_minimum_sales_item,is_expiry_date,is_machine_weight_applicable,expiry_date,remark,active_status,created_by,updated_by
1,Test Item,testcode123,Direct,5000,5,0,0,0,0,16,0,Test Item,0,0,0,hsn456,2,200,200,1,2021-03-05,0,0,0,0,0,0,2021-03-05,0,1,0,0
2,test,1252,Direct,1000,1,0,0,0,0,16,0,test,0,0,0,552,2,233,233,1,2021-03-06,0,0,0,0,0,0,2021-03-06,0,1,0,0
3,test new item,5896,Direct,2000,2,0,0,0,0,16,0,test new item,0,0,0,0,2,0,0,1,2021-03-07,0,0,0,0,0,0,2021-03-07,0,1,0,0
4,for test,1234,Direct,0,0,0,0,0,0,16,0,for test,0,0,0,133,2,100,100,1,2021-03-08,0,0,0,0,0,0,2021-03-08,0,1,0,0
22,pencil,P123,Direct,10,0.01,0,0,0,0,17,0,pencil,0,0,0,1252,2,2,2,1,2021-03-09,0,0,0,0,0,0,2021-03-09,0,1,0,0
23,Pencil Box,PB523,Parent,100,0.1,0,10,22,0,17,0,Pencil Box,0,0,0,6355,2,20,20,2,2021-03-10,0,0,0,0,0,0,2021-03-10,0,1,0,0
25,Eraser,121,Direct,0,0,0,0,0,0,16,0,Eraser,0,0,0,0,2,1,1,1,2021-03-11,0,0,0,0,0,0,2021-03-11,0,1,0,0
26,Eraser Box,122,Parent,2,0,0,10,25,0,16,0,Eraser Box,0,0,0,152,2,10,10,2,2021-03-12,0,0,0,0,0,0,2021-03-12,0,1,0,0
27,Forchecking,Forchecking222,Direct,100,0.1,0,0,0,0,16,0,Forchecking,0,0,0,25288,2,100,100,1,2021-03-13,0,0,0,0,0,0,2021-03-13,0,1,0,0
28,Just Test,12555885,Direct,1000,1,0,0,0,0,18,0,Just Test,0,0,0,88655,2,20,20,2,2021-03-14,0,0,0,0,0,0,2021-03-14,0,1,0,0
29,Aasasd,sdasds,Direct,1000,1,0,0,0,0,16,0,Aasasd,0,0,0,1222,2,100,100,1,2021-03-15,0,0,0,0,0,0,2021-03-15,0,1,0,0
30,Boost,boost123,Direct,100,0.1,0,0,0,0,17,0,Boost new name,0,0,0,145223,2,20,20,1,2021-03-16,0,0,0,0,0,0,2021-03-16,0,1,0,0
31,Belt,belt45,Direct,50,0.05,0,0,0,0,17,0,Belt,0,0,0,777,2,50,50,1,2021-03-17,0,0,0,0,0,0,2021-03-17,0,1,0,0
