Sno,name,code,item_type,weight_in_grams,weight_in_kg,bulk_item_id,child_unit,child_item_id,category name,brand name,print_name_in_english,print_name_in_language_1,print_name_in_language_2,print_name_in_language_3,hsn,supplier name,mrp,default_selling_price,uom,applicable_date,remark,location,batch_no,opening_qty,rate,amount,applicable_date
,Test Item,testcode123,Direct,5000,5,0,0,0,16,0,Test Item,0,0,0,hsn456,2,200,200,1,2021-03-05,0,1,125,60,30,1800,2020-12-15
,test,1252,Direct,1000,1,0,0,0,16,0,test,0,0,0,552,2,233,233,1,2021-03-06,0,3,221,50,10,500,2020-12-24
,test new item,5896,Direct,2000,2,0,0,0,16,0,test new item,0,0,0,0,2,0,0,1,2021-03-07,0,1,326,40,20,800,2020-12-16
,for test,1234,Direct,0,0,0,0,0,16,0,for test,0,0,0,133,2,100,100,1,2021-03-08,0,1,112,10,2,20,2020-12-17
,pencil,P123,Direct,10,0.01,0,0,0,17,0,pencil,0,0,0,1252,2,2,2,1,2021-03-09,0,1,1,10,1,10,2020-12-21
,Pencil Box,PB523,Parent,100,0.1,0,10,22,17,0,Pencil Box,0,0,0,6355,2,20,20,2,2021-03-10,0,1,122,3,10,30,2020-12-21
,Eraser,121,Direct,0,0,0,0,0,16,0,Eraser,0,0,0,0,2,1,1,1,2021-03-11,0,2,255,10,20,200,2020-12-17
,Eraser Box,122,Parent,2,0,0,10,25,16,0,Eraser Box,0,0,0,152,2,10,10,2,2021-03-12,0,1,10,100,10,1000,2021-01-05
,Forchecking,Forchecking222,Direct,100,0.1,0,0,0,16,0,Forchecking,0,0,0,25288,2,100,100,1,2021-03-13,0,2,455,100,10,1000,2020-12-16
,Just Test,12555885,Direct,1000,1,0,0,0,18,0,Just Test,0,0,0,88655,2,20,20,2,2021-03-14,0,1,1012,10,20,200,2021-01-23
,Aasasd,sdasds,Direct,1000,1,0,0,0,16,0,Aasasd,0,0,0,1222,2,100,100,1,2021-03-15,0,1,1222,10,2,20,2021-01-27
,Boost,boost123,Direct,100,0.1,0,0,0,17,0,Boost new name,0,0,0,145223,2,20,20,1,2021-03-16,0,1,1220,10,20,200,2021-02-01
,Belt,belt45,Direct,50,0.05,0,0,0,17,0,Belt,0,0,0,777,2,50,50,1,2021-03-17,0,1,12,0,0,0,2021-02-01
